SITE_ID,DATEON,DATEOFF,TSO4,TNO3,TNH4,Ca,Mg,Na,K,Cl,NSO4,NHNO3,WSO2,TOTAL_SO2,TOTAL_NO3,FLOW_VOLUME,VALID_HOURS,COMMENT_CODES,STD2LOCAL_CF,TEMP_SOURCE,QA_CODE,UPDATE_DATE
CON186,2003-09-02,2003-09-09,1.3079,0.951,0.5297,0.2329,0.0421,0.151,0.0532,0.0134,0.1091,2.0824,0.2861,0.3588,3.0003,37.2821,169,,1.22133183,sa,3,2004-02-02
CON186,2003-09-09,2003-09-16,1.3556,1.3186,0.5847,0.3147,0.0553,0.2038,0.0597,0.0137,0.0972,4.6848,0.6377,0.7026,5.9289,36.3762,165,,1.22166785,sa,3,2004-02-02
CON186,2003-09-16,2003-09-23,0.8147,0.7078,0.3528,0.3317,0.0455,0.1077,0.0509,0.0131,0.0404,3.72,0.3738,0.4008,4.3687,38.0392,167,,1.22709497,sa,3,2004-02-02
CON186,2003-09-23,2003-09-30,1.1388,0.9686,0.4645,0.3119,0.0482,0.1195,0.0488,0.0131,0.0585,3.205,0.4841,0.5231,4.1227,38.3042,168,,1.22909755,sa,3,2004-02-02
CON186,2003-09-30,2003-10-07,1.226,0.8245,0.4818,0.2236,0.0328,0.1023,0.0392,0.0132,0.065,3.6368,0.5462,0.5896,4.4034,37.7801,168,,1.21280175,sa,3,2004-02-02
CON186,2003-10-07,2003-10-14,1.2985,0.9536,0.5754,0.2748,0.0418,0.1101,0.0466,0.0132,0.0589,4.2986,0.4897,0.5289,5.1839,38.0052,169,,1.21301873,sa,3,2004-02-02
CON186,2003-10-14,2003-10-21,0.6403,0.3421,0.2585,0.1776,0.0211,0.0485,0.029,0.0133,0.0308,2.2996,0.3348,0.3554,2.6052,37.6083,167,,1.21462046,sa,3,2004-02-02
CON186,2003-10-21,2003-10-28,0.4887,0.2065,0.1922,0.2103,0.0222,0.0286,0.0537,0.0162,0.0324,1.4473,0.4017,0.4233,1.6309,30.9003,167,,1.21648648,sa,3,2004-02-02
CON186,2003-10-28,2003-11-04,0.5005,1.5469,0.554,0.1019,0.0242,0.1143,0.0615,0.092,0.0632,0.4309,0.242,0.2842,1.9709,19.8077,167,,1.21397923,mo,3,2004-07-10
CON186,2003-11-04,2003-11-11,0.4534,2.7171,0.7852,0.1553,0.0181,0.0532,0.0305,0.0136,0.0682,1.5648,0.2155,0.261,4.2571,36.6757,169,,1.1703214,sa,3,2004-07-10
CON186,2003-11-11,2003-11-18,0.3543,0.4171,0.1796,0.0424,0.0098,0.0578,0.0128,0.0139,0.0426,0.8435,0.1059,0.1343,1.2472,36.067,167,,1.1646057,sa,3,2004-07-10
CON186,2003-11-18,2003-11-25,0.3248,0.5564,0.1778,0.1,0.0148,0.0509,0.0171,0.0139,0.0317,0.8678,0.1777,0.1989,1.4104,36.085,166,,1.1720914,sa,3,2004-07-10
CON186,2003-11-25,2003-12-02,0.3231,0.3933,0.13,0.0973,0.0178,0.074,0.0186,0.0187,0.0313,1.0199,0.1733,0.1941,1.397,34.8838,160,,1.17549459,sa,3,2004-07-10
CON186,2003-12-02,2003-12-09,0.259,0.7511,0.2517,0.0847,0.0116,0.0298,0.0153,0.0135,0.027,0.7579,0.171,0.189,1.4969,37.06,170,,1.17602713,sa,3,2004-07-10
CON186,2003-12-09,2003-12-16,0.2727,0.7361,0.191,0.0656,0.021,0.0828,0.0151,0.014,0.0511,0.5932,0.2064,0.2404,1.3198,35.7472,167,,1.15437787,sa,3,2004-07-10
CON186,2003-12-16,2003-12-23,0.0995,0.15310000000000001,0.0406,0.0432,0.0095,0.0209,0.0097,0.0136,0.0272,0.3753,0.0941,0.1123,0.5225,36.714,168,,1.17870611,sa,3,2004-07-10
CON186,2003-12-23,2003-12-30,0.2173,0.3228,0.1265,0.0306,0.0111,0.0457,0.0118,0.014,0.0331,0.4429,0.1112,0.1333,0.7587,35.7022,168,,1.1459348600000001,sa,3,2004-07-10
CON186,2003-12-30,2004-01-06,0.2497,0.2404,0.0977,0.0439,0.013,0.058,0.0138,0.0152,0.0387,0.3371,0.1604,0.1862,0.5721,35.451,166,,1.15134804,sa,3,2004-07-10
CON186,2004-01-06,2004-01-13,0.2268,0.1052,0.0994,0.0582,0.0063,0.0242,0.0135,0.0137,0.0318,0.3865,0.1346,0.1558,0.4855,36.4135,167,,1.17571131,sa,3,2004-07-10
CON186,2004-01-13,2004-01-20,0.4061,2.0132,0.6177,0.1311,0.0189,0.0439,0.0265,0.0164,0.0689,0.6936,0.2129,0.2588,2.6958,36.1236,167,,1.16644999,sa,3,2004-07-10
CON186,2004-01-20,2004-01-27,0.6473,2.0014,0.672,0.1154,0.025,0.0644,0.0199,0.014,0.0576,1.0182,0.2019,0.2404,3.0035,35.6723,167,,1.15186026,sa,3,2004-07-10
CON186,2004-01-27,2004-02-03,0.5514,3.9303,1.1302,0.1372,0.0302,0.1328,0.0271,0.0538,0.0921,1.2031,0.2128,0.2743,5.1143,36.0376,168,,1.15692233,sa,3,2004-07-10
CON186,2004-02-03,2004-02-10,0.2029,0.2054,0.0469,0.0559,0.0161,0.0644,0.0137,0.014,0.028,0.4634,0.1384,0.1571,0.6614,35.6642,167,,1.15193544,sa,3,2004-07-10
CON186,2004-02-10,2004-02-17,0.2167,0.547,0.1334,0.091,0.0175,0.03,0.0192,0.0138,0.0315,0.7197,0.2566,0.2776,1.2553,36.2819,168,,1.16488789,sa,3,2004-07-10
CON186,2004-02-17,2004-02-24,0.2654,0.7482,0.2596,0.0306,0.0084,0.0468,0.0157,0.0209,0.0345,0.3907,0.083,0.106,1.1326,36.5844,171,,1.15404913,sa,3,2004-07-10
CON186,2004-02-24,2004-03-02,0.9383,2.4578,0.8584,0.0953,0.0373,0.2331,0.0286,0.2262,0.1151,0.3305,0.1027,0.1795,2.7831,35.031,165,,1.14510171,sa,3,2004-07-10
CON186,2004-03-02,2004-03-09,0.5933,0.5543,0.1616,0.1333,0.0321,0.1604,0.0278,0.014,0.0514,1.4063,0.1053,0.1396,1.9382,35.7638,164,,1.17637032,sa,3,2004-07-10
CON186,2004-03-09,2004-03-16,0.6039,0.6499,0.2755,0.2052,0.0242,0.0809,0.029,0.0133,0.049,2.1182,0.2304,0.2632,2.7344,37.4544,169,,1.19557537,sa,3,2004-07-10
CON186,2004-03-16,2004-03-23,0.9305,1.4688,0.6368,0.2572,0.0286,0.0431,0.0338,0.0133,0.0528,3.2108,0.3888,0.424,4.6286,37.7228,169,,1.20397132,sa,3,2004-07-10
CON186,2004-03-23,2004-03-30,1.1653,1.8308,0.6126,0.3974,0.064,0.1515,0.0595,0.0136,0.0562,2.7722,0.214,0.2515,4.5589,36.8671,167,,1.19092182,sa,3,2004-07-10
CON186,2004-03-30,2004-04-06,1.2171,3.7257,1.0152,0.2951,0.0592,0.2956,0.0458,0.0415,0.0785,1.2174,0.2707,0.3231,4.9237,36.3409,167,,1.17395704,sa,3,2004-07-10
CON186,2004-04-06,2004-04-13,1.6305,2.5354,0.9574,0.3322,0.053900000000000003,0.2069,0.0531,0.0135,0.0923,2.6163,0.3404,0.4019,5.1101,37.1737,169,,1.18664955,sa,3,2004-07-10
CON186,2004-04-13,2004-04-20,1.2018,3.2708,0.926,0.2889,0.0557,0.2474,0.0417,0.0565,0.0756,1.091,0.266,0.3164,4.3444,36.1139,167,,1.1667511,sa,3,2004-07-10
CON186,2004-04-20,2004-04-27,1.2437,0.7512,0.4616,0.328,0.0427,0.1116,0.0414,0.0134,0.0745,2.6369,0.4701,0.5198,3.3462,37.285,168,,1.19747118,sa,3,2004-07-10
CON186,2004-05-11,2004-05-18,1.7368,4.51,1.0049,0.4727,0.1324,0.6694,0.1094,0.0476,0.1473,3.6585,0.5911,0.6893,8.1104,36.188,167,,1.19629063,sa,3,2005-01-31
CON186,2004-05-18,2004-05-25,2.134,6.0859,1.7242,0.3616,0.1038,0.5446,0.0744,0.1007,0.0862,1.8703,0.236,0.2935,7.9265,35.703,168,,1.18065626,sa,3,2005-01-31
CON186,2004-05-25,2004-06-01,1.5496,1.5841,0.5115,0.2729,0.0664,0.3313,0.0534,0.0138,0.0512,4.1399,0.2824,0.3165,5.6582,36.234,167,,1.19971465,sa,3,2005-01-31
CON186,2004-06-01,2004-06-08,2.1917,2.6254,0.9705,0.3582,0.0925,0.4222,0.1097,0.0222,0.1108,6.0925,0.4663,0.5402,8.6211,36.9614,168,,1.2222674,sa,3,2005-01-31
CON186,2004-06-08,2004-06-15,2.1003,3.7599,1.0068,0.3882,0.1173,0.6237,0.098,0.0178,0.0881,4.9099,0.3433,0.402,8.5917,36.8226,169,,1.2026927,sa,3,2005-01-31
CON186,2004-06-15,2004-06-22,1.8722,1.4042,0.6917,0.2873,0.0647,0.2963,0.0732,0.0135,0.0618,4.8641,0.4066,0.4479,6.191,37.155,169,,1.22140023,sa,3,2005-01-31
CON186,2004-06-22,2004-06-29,2.8426,2.8019,1.2169,0.4236,0.081,0.3338,0.1026,0.0169,0.0949,6.1232,0.6263,0.6896,8.8278,36.6563,167,,1.21943921,sa,3,2005-01-31
CON186,2004-06-29,2004-07-06,1.997,1.9541,0.7928,0.3315,0.0747,0.2449,0.2086,0.0137,0.0644,6.0472,0.5986,0.6416,7.9052,36.4901,167,,1.21390725,sa,3,2005-01-31
CON186,2004-07-06,2004-07-13,1.3842,0.808,0.4703,0.2438,0.0395,0.1454,0.0516,0.0135,0.052,3.2553,0.4395,0.4742,4.0115,36.9373,167,,1.22878723,sa,3,2005-01-31
CON186,2004-07-13,2004-07-20,1.4249,1.1933,0.5281,0.331,0.0587,0.2225,0.0764,0.0135,0.114,4.0325,0.7394,0.8155,5.1617,36.9923,167,,1.23061451,sa,3,2005-01-31
CON186,2004-07-20,2004-07-27,1.0194,0.5356,0.3912,0.1442,0.0302,0.1231,0.0292,0.0131,0.0619,3.1162,0.4643,0.5056,3.6022,38.0524,171,,1.23660754,sa,3,2005-01-31
CON186,2004-08-03,2004-08-10,1.6516,0.9485,0.5571,0.2611,0.0507,0.2161,0.0437,0.0135,0.0763,4.4877,0.6552,0.706,5.3649,37.0058,167,,1.23096498,sa,3,2005-01-31
CON186,2004-08-10,2004-08-17,2.3884,1.7579,0.9163,0.3719,0.0734,0.2613,0.0711,0.0134,0.1045,4.3383,0.6999,0.7696,6.0272,37.339,166,,1.23193596,sa,3,2005-01-31
CON186,2004-08-17,2004-08-24,2.0386,1.934,0.9972,0.2385,0.0489,0.2032,0.0436,0.0137,0.0747,3.7605,0.4086,0.4584,5.6347,36.6188,150,,1.21764875,sa,3,2005-01-31
CON186,2004-08-24,2004-08-31,1.8452,1.2671,0.7696,0.3697,0.0498,0.1402,0.0515,0.0136,0.1551,4.8116,1.1842,1.2877,6.0022,36.8408,165,,1.22261084,sa,3,2005-01-31
CON186,2004-08-31,2004-09-07,0.8156,0.777,0.308,0.2113,0.04,0.1649,0.1277,0.019,0.105,3.1315,0.5826,0.6526,3.8588,37.0274,168,,1.2244495,sa,3,2005-01-31
CON186,2004-09-07,2004-09-14,1.7826,1.812,0.786,0.3521,0.0625,0.2367,0.0632,0.0136,0.1459,4.5605,0.8977,0.9949,6.2999,36.8106,167,,1.22457237,sa,3,2005-01-31
CON186,2004-09-14,2004-09-21,1.534,2.4785,0.7364,0.3078,0.081,0.4542,0.0605,0.0676,0.1119,3.2425,0.5198,0.5944,5.6694,36.5973,169,,1.20294778,sa,3,2005-01-31
CON186,2004-09-21,2004-09-28,0.5615,0.5698,0.2761,0.1988,0.0274,0.0503,0.028,0.0136,0.0487,2.572,0.3892,0.4217,3.1009,36.8296,168,,1.2145137,sa,3,2005-01-31
CON186,2004-09-28,2004-10-05,1.4486,1.9015,0.6665,0.2652,0.0587,0.2904,0.0504,0.0138,0.0666,3.7758,0.5225,0.5669,5.6172,36.2429,168,,1.19850776,sa,3,2005-01-31
CON186,2004-10-05,2004-10-12,1.1272,0.865,0.4928,0.327,0.0419,0.0941,0.0433,0.0134,0.0504,3.0161,0.4499,0.4836,3.8332,37.3142,171,,1.20776666,sa,3,2005-01-31
CON186,2004-10-12,2004-10-19,0.9403,1.8316,0.6461,0.2292,0.0403,0.1189,0.035,0.0922,0.0608,1.2604,0.2241,0.2646,3.072,35.6909,165,,1.19490741,sa,3,2005-01-31
CON186,2004-10-19,2004-10-26,0.8205,2.8703,0.9973,0.0715,0.0232,0.1386,0.0224,0.0343,0.0775,0.8594,0.2589,0.3106,3.7161,35.1967,167,,1.16680596,sa,3,2005-01-31
CON186,2004-11-02,2004-11-09,0.4681,2.1654,0.5604,0.0986,0.0375,0.2442,0.0257,0.1157,0.0675,0.9291,0.2069,0.2519,3.0797,35.6296,161,,1.17073875,sa,3,2005-07-20
CON186,2004-11-09,2004-11-16,0.7054,0.3291,0.2794,0.075,0.0103,0.0304,0.0166,0.0142,0.0428,1.1862,0.1966,0.2251,1.4964,35.1168,166,,1.16784931,sa,3,2005-07-20
CON186,2004-11-16,2004-11-23,0.5405,1.2946,0.4461,0.1194,0.0166,0.033,0.0182,0.0145,0.0701,1.0327,0.2157,0.2625,2.3109,34.4156,165,,1.15874935,sa,3,2005-07-20
CON186,2004-11-23,2004-11-30,0.367,0.4017,0.1499,0.0933,0.0196,0.091,0.0193,0.0172,0.0463,0.7878,0.1723,0.2032,1.1769,34.8737,168,,1.15849516,sa,3,2005-07-20
CON186,2004-11-30,2004-12-07,0.4437,0.476,0.2232,0.0528,0.0154,0.0473,0.0151,0.0189,0.0345,0.4174,0.1523,0.1753,0.8867,34.7073,167,,1.14715901,sa,3,2005-07-20
CON186,2004-12-07,2004-12-14,0.1992,0.0702,0.0693,0.0211,0.0038,0.0246,0.0076,0.014,0.0378,0.2839,0.1001,0.1253,0.3496,35.6218,167,,1.18502276,sa,3,2005-07-20
CON186,2004-12-14,2004-12-21,0.1798,0.1705,0.0543,0.0834,0.0222,0.0301,0.0127,0.0167,0.0336,0.3564,0.1186,0.141,0.5212,36.0778,166,,1.18543128,sa,3,2005-07-20
CON186,2004-12-21,2004-12-28,0.271,0.4089,0.1027,0.0971,0.0236,0.0666,0.0202,0.0285,0.0424,0.2332,0.1834,0.2117,0.6384,35.5072,169,,1.1619821,sa,3,2005-07-20
CON186,2004-12-28,2005-01-04,0.1883,0.2785,0.0919,0.0196,0.0091,0.0778,0.0077,0.056,0.0437,0.1024,0.0394,0.0685,0.3793,33.8865,163,,1.14086653,sa,3,2005-07-20
CON186,2005-01-04,2005-01-11,0.1516,0.5592,0.1935,0.0112,0.004,0.0233,0.0059,0.0163,0.0395,0.3639,0.0541,0.0804,0.9173,34.7994,168,,1.15077407,sa,3,2005-07-20
CON186,2005-01-11,2005-01-18,0.1403,0.0801,0.0348,0.036,0.01,0.0402,0.0113,0.0346,0.0281,0.1892,0.1083,0.127,0.2663,35.6036,168,,1.17097734,sa,3,2005-07-20
CON186,2005-01-18,2005-01-25,0.4111,0.2285,0.1922,0.0544,0.0057,0.0126,0.0167,0.014,0.0511,0.7858,0.1706,0.2047,1.0017,35.805,168,,1.18402799,sa,3,2005-07-20
CON186,2005-01-25,2005-02-01,0.5389,0.2453,0.1668,0.0729,0.0172,0.0674,0.0153,0.0143,0.0367,0.4515,0.0886,0.113,0.6896,35.0316,168,,1.15490146,sa,3,2005-07-20
CON186,2005-02-01,2005-02-08,0.5746,0.7992,0.3073,0.0881,0.0221,0.1057,0.0168,0.0502,0.041,0.4856,0.1893,0.2166,1.2771,34.9296,168,,1.15507855,sa,3,2005-07-20
CON186,2005-02-08,2005-02-15,0.4282,0.9925,0.409,0.0368,0.0078,0.0363,0.0143,0.0142,0.0284,0.8003,0.0793,0.0982,1.7801,35.2611,168,,1.16193683,sa,3,2005-07-20
CON186,2005-02-15,2005-02-22,0.2252,0.1542,0.0815,0.0198,0.0074,0.0414,0.0117,0.0241,0.0374,0.535,0.0381,0.063,0.6807,35.0471,168,,1.15726564,sa,3,2005-07-20
CON186,2005-02-22,2005-03-01,0.7047,2.3918,0.9009,0.0629,0.011,0.0479,0.0133,0.0143,0.0459,0.8213,0.0836,0.1142,3.2,34.9242,168,,1.15487653,sa,3,2005-07-20
CON186,2005-03-01,2005-03-08,0.6697,2.163,0.7819,0.1168,0.0169,0.0638,0.021,0.0142,0.0283,1.3614,0.1307,0.1496,3.5028,35.3008,168,,1.16735359,sa,3,2005-07-20
CON186,2005-03-08,2005-03-15,0.7301,0.5127,0.2582,0.2401,0.0259,0.1036,0.0338,0.0139,0.0311,1.0581,0.214,0.2348,1.5539,35.9385,168,,1.18844231,sa,3,2005-07-20
CON186,2005-03-15,2005-03-22,0.9276,3.2832,0.9173,0.2342,0.0577,0.2852,0.044,0.2275,0.0609,0.6348,0.1903,0.231,3.9079,35.1137,168,,1.16093669,sa,3,2005-07-20
CON186,2005-03-22,2005-03-29,0.6525,1.4665,0.5127,0.0866,0.0253,0.1478,0.0207,0.0259,0.0566,0.7793,0.1549,0.1926,2.2334,35.0337,168,,1.15852265,sa,3,2005-07-20
CON186,2005-03-29,2005-04-05,1.0389,1.6422,0.52,0.2392,0.0515,0.2356,0.0402,0.038,0.0651,1.1492,0.2744,0.3178,2.7732,35.5185,167,,1.17425215,sa,3,2005-07-20
CON186,2005-04-05,2005-04-12,1.0636,1.4912,0.4404,0.3533,0.0713,0.2175,0.0628,0.0294,0.0668,1.1176,0.3014,0.346,2.591,35.5218,168,,1.17466335,sa,3,2005-07-20
CON186,2005-04-12,2005-04-19,2.0854,4.5845,1.2992,0.6324,0.1241,0.3297,0.0898,0.1125,0.0734,2.0506,0.5783,0.6273,6.6025,35.6388,167,,1.18558727,sa,3,2005-07-20
CON186,2005-04-19,2005-04-26,1.2342,3.305,0.8461,0.2925,0.0667,0.288,0.0472,0.0214,0.0906,1.223,0.211,0.2714,4.5085,35.2449,168,,1.16952086,sa,3,2005-07-20
CON186,2005-04-26,2005-05-03,1.4346,4.2024,1.4665,0.1958,0.041,0.1846,0.0365,0.0143,0.0842,1.5571,0.1794,0.2356,5.7348,34.8528,168,,1.17347117,sa,3,2006-02-01
CON186,2005-05-03,2005-05-10,1.6162,4.3235,1.579,0.1998,0.0441,0.1463,0.0603,0.0259,0.0729,1.2904,0.1333,0.1819,5.5933,33.5904,166,,1.17317593,sa,3,2006-02-01
CON186,2005-05-10,2005-05-17,1.225,2.2694,0.6999,0.3182,0.0541,0.1904,0.0559,0.0138,0.1087,3.9091,0.5364,0.609,6.1163,36.3195,168,,1.19341769,sa,3,2006-02-01
CON186,2005-05-17,2005-05-24,1.105,1.0778,0.3752,0.2553,0.0564,0.2163,0.0473,0.0136,0.059,4.655,0.3533,0.3926,5.6588,36.8509,168,,1.21564848,sa,3,2006-02-01
CON186,2005-05-24,2005-05-31,1.7252,1.5094,0.684,0.2997,0.0574,0.2402,0.0566,0.0136,0.055,4.7622,0.4468,0.4836,6.1959,36.8245,169,,1.21122827,sa,3,2006-02-01
CON186,2005-05-31,2005-06-07,2.1137,3.3354,1.0099,0.4122,0.087,0.4774,0.0849,0.0138,0.0862,3.6391,0.4195,0.4769,6.9167,36.1445,168,,1.19525315,sa,3,2006-02-01
CON186,2005-06-07,2005-06-14,1.9687,2.5111,0.8607,0.304,0.081,0.4185,0.074,0.0169,0.1093,5.5224,0.4318,0.5047,7.9457,35.0634,161,,1.2014523,sa,3,2006-02-01
CON186,2005-06-14,2005-06-21,1.5365,0.9525,0.5674,0.2508,0.0496,0.2076,0.0592,0.0138,0.0682,3.1818,0.3189,0.3644,4.0838,36.3045,167,,1.2077329,sa,3,2006-02-01
CON186,2005-06-21,2005-06-28,1.3391,1.6115,0.6298,0.3652,0.0581,0.2008,0.0618,0.0136,0.0627,3.9941,0.5837,0.6255,5.5422,36.7176,168,,1.21420696,sa,3,2006-02-01
CON186,2005-06-28,2005-07-05,2.0063,0.6883,0.7767,0.2844,0.0456,0.1146,0.0668,0.0136,0.0627,5.0963,0.646,0.6878,5.7036,36.7592,167,,1.22286132,sa,3,2006-02-01
CON186,2005-07-05,2005-07-12,1.7907,1.1429,0.6157,0.2969,0.0635,0.2034,0.1782,0.0135,0.0962,4.2781,0.7173,0.7815,5.353,36.9518,151,,1.22233325,sa,3,2006-02-01
CON186,2005-07-12,2005-07-19,1.8575,0.7296,0.7013,0.3138,0.0427,0.1191,0.0653,0.0133,0.0614,4.6213,0.5719,0.6128,5.2774,37.6842,168,,1.24634375,sa,3,2006-02-01
CON186,2005-07-19,2005-07-26,2.3613,1.4711,0.7497,0.4562,0.0883,0.2709,0.113,0.0134,0.1606,3.4407,0.8748,0.9819,4.8571,37.301,168,,1.23347504,sa,3,2006-02-01
CON186,2005-07-26,2005-08-02,2.8137,0.8414,0.8678,0.3714,0.0713,0.2278,0.0834,0.0134,0.1385,4.9453,0.9098,1.0022,5.708,37.3176,168,,1.23241008,sa,3,2006-02-01
CON186,2005-08-09,2005-08-16,2.7452,2.0061,1.2693,0.3876,0.0632,0.1792,0.0721,0.0135,0.1086,6.2493,0.6019,0.6744,8.156,37.1563,168,,1.22180594,sa,3,2006-02-01
CON186,2005-08-16,2005-08-23,1.3841,0.7478,0.5723,0.2223,0.0321,0.0875,0.0413,0.0136,0.0711,5.2258,0.615,0.6625,5.8906,36.6659,167,,1.21975784,sa,3,2006-02-01
CON186,2005-08-23,2005-08-30,1.1293,0.6462,0.403,0.1937,0.04,0.1458,0.0466,0.0135,0.0632,3.121,0.6154,0.6576,3.7176,37.1561,167,,1.23117314,sa,3,2006-02-01
CON186,2005-08-30,2005-09-06,0.9195,0.8569,0.366,0.2209,0.0469,0.1833,0.0478,0.0135,0.0375,3.1017,0.5305,0.5555,3.9093,36.9667,168,,1.22244436,sa,3,2006-02-01
CON186,2005-09-06,2005-09-13,1.0294,1.8736,0.5903,0.2627,0.0543,0.2208,0.052,0.0138,0.073,3.1632,0.4703,0.519,4.9866,36.1198,167,,1.20041713,sa,3,2006-02-01
CON186,2005-09-13,2005-09-20,1.6603,2.3903,0.8277,0.3093,0.0637,0.2751,0.0658,0.0155,0.0728,4.867,0.5414,0.5899,7.18,36.8356,170,,1.2037078,sa,3,2006-02-01
CON186,2005-09-20,2005-09-27,1.0702,0.663,0.4257,0.1691,0.0256,0.0756,0.0406,0.0138,0.0589,3.0311,0.3051,0.3444,3.6459,36.3285,167,,1.20699028,sa,3,2006-02-01
CON186,2005-09-27,2005-10-04,1.0302,1.4498,0.6002,0.3348,0.0386,0.06,0.0881,0.0137,0.0888,2.7566,0.5578,0.617,4.1626,36.5664,168,,1.20920664,sa,3,2006-02-01
CON186,2005-10-04,2005-10-11,0.6601,1.1286,0.3194,0.269,0.0433,0.1333,0.1413,0.0138,0.0731,1.7958,0.4428,0.4916,2.8958,36.285,168,,1.19989929,sa,3,2006-02-01
CON186,2005-10-11,2005-10-18,0.7958,0.7944,0.2493,0.2247,0.041,0.127,0.0463,0.0345,0.0463,1.7986,0.2963,0.3272,2.5644,36.1536,168,,1.19330786,sa,3,2006-02-01
CON186,2005-10-18,2005-10-25,0.7231,0.8792,0.4614,0.0836,0.0111,0.0203,0.0255,0.014,0.0785,2.6617,0.2109,0.2632,3.4986,35.7746,167,,1.19032138,sa,3,2006-02-01
CON186,2005-10-25,2005-11-01,0.9577,0.6707,0.4703,0.0905,0.0149,0.04,0.0215,0.0139,0.0546,2.6979,0.2048,0.2412,3.3257,36.0778,169,,1.18620101,sa,3,2006-07-12
CON186,2005-11-01,2005-11-08,0.9364,0.7448,0.4074,0.164,0.0234,0.0605,0.0294,0.0146,0.0469,2.1964,0.2959,0.3272,2.9062,34.236,159,,1.18775262,sa,3,2006-07-12
CON186,2005-11-15,2005-11-22,0.1921,0.055,0.0743,0.0576,0.0074,0.012,0.0101,0.0138,0.0314,0.2741,0.1103,0.1313,0.3248,36.3263,168,,1.19791422,sa,3,2006-07-12
CON186,2005-11-22,2005-11-29,0.5038,1.2444,0.4448,0.1121,0.0165,0.0522,0.025,0.014,0.0518,1.2062,0.2962,0.3307,2.4314,35.6277,163,,1.17683957,sa,3,2006-07-12
CON186,2005-11-29,2005-12-06,0.213,0.1533,0.0768,0.0454,0.014,0.024,0.0101,0.0141,0.039,0.685,0.2031,0.2291,0.8274,35.4751,168,,1.17311711,sa,3,2006-07-12
CON186,2005-12-06,2005-12-13,0.2087,0.42,0.1227,0.0883,0.0135,0.0227,0.019,0.0141,0.0282,0.732,0.2402,0.2591,1.1404,35.3984,168,,1.16690224,sa,3,2006-07-12
CON186,2005-12-13,2005-12-20,0.467,0.9705,0.3264,0.0898,0.0206,0.0624,0.0201,0.0142,0.0374,1.6749,0.1837,0.2086,2.6188,35.1161,168,,1.16124599,sa,3,2006-07-12
CON186,2005-12-20,2005-12-27,0.1546,0.2384,0.0874,0.0522,0.009,0.02,0.0154,0.0138,0.0325,0.6069,0.1676,0.1893,0.8357,36.2051,169,,1.19012805,sa,3,2006-07-12
CON186,2005-12-27,2006-01-03,0.2168,0.2509,0.0979,0.0315,0.0079,0.0422,0.01,0.0142,0.0372,0.7526,0.0943,0.1191,0.9916,35.1581,167,,1.16780188,sa,3,2006-07-12
CON186,2006-01-03,2006-01-10,0.2823,0.159,0.068,0.2956,0.0431,0.0749,0.0403,0.034,0.0352,0.2605,0.1471,0.1706,0.4154,36.271,170,,1.18532695,sa,3,2006-07-12
